Date,Open,High,Low,Close,Adj Close,Volume
9/28/2017,887,899.5,881.650024,897.650024,880.663513,13823232
9/29/2017,900.049988,911,898.125,902.849976,885.765076,3106816
10/3/2017,904,910.5,898.549988,904.424988,887.310242,2197212
10/4/2017,903.950012,905.950012,896.674988,898.5,881.497375,3312552
10/5/2017,897.5,902.5,896.549988,899.299988,882.282227,1668098
10/6/2017,899,902.224976,897,900.049988,883.018066,1515330
10/9/2017,899.400024,901.5,895.25,897.75,880.761536,1531246
10/10/2017,899.5,907.474976,896.325012,901.349976,884.293396,1899090
10/11/2017,901.625,907.625,893.799988,895.075012,878.137268,2633720
10/12/2017,897.549988,910.724976,894,909.400024,892.191101,2690780
10/13/2017,913.349976,928.275024,911,925.400024,907.888367,3216732
10/16/2017,930,936.625,921,928.575012,911.003296,1637272
10/17/2017,925,926.849976,919.549988,925.625,908.10907,1306644
10/18/2017,920.5,937.5,919.5,934.25,916.570862,1963360
10/19/2017,930.900024,932.5,920.325012,924.200012,906.71106,285004
10/23/2017,929.950012,934.849976,918.025024,931.650024,914.020142,2081446
10/24/2017,931.5,939.799988,926.5,933.549988,915.884155,5664436
10/25/2017,930,931.5,892.5,897.549988,880.565308,10683604
10/26/2017,884,905,878.924988,897.674988,880.687927,14285732
10/27/2017,902.200012,903.75,889.5,895.525024,878.578674,3736044
10/30/2017,899.125,908,896.200012,907.5,890.327026,2711176
10/31/2017,905.75,905.75,899.625,904.25,887.13855,2341230
11/1/2017,907.549988,912.5,906,910.599976,893.368408,2095306
11/2/2017,911.5,914.900024,908.474976,911.049988,893.809875,2368972
11/3/2017,912.849976,920,910.799988,915.349976,898.028503,1905244
11/6/2017,912.5,920,911.299988,914.299988,896.998413,3074122
11/7/2017,919,922.474976,910.375,911.849976,894.594727,3723188
11/8/2017,912.599976,916.799988,909.5,912.974976,895.698364,1641572
11/9/2017,913.5,917.5,910.549988,913.924988,896.630493,1556654
11/10/2017,910.849976,917.400024,906.174988,911,893.760864,3872180
11/13/2017,911,911.575012,897.5,906.775024,889.615784,1667936
11/14/2017,907.950012,909.5,900,901.174988,884.121765,2356234
11/15/2017,899,901.825012,894,900.125,883.091614,3074184
11/16/2017,902,908,897.599976,903.849976,886.746094,2006486
11/17/2017,914.349976,919.150024,906.575012,912.775024,895.502319,3179386
11/20/2017,914.5,919.849976,914.5,919.075012,901.682983,1196212
11/21/2017,918.724976,925,918.049988,923.125,905.656372,1137766
11/22/2017,924.849976,930,922.275024,927.625,910.071228,2830398
11/23/2017,929.5,930,919,921.424988,903.988586,1616290
11/24/2017,921.5,928.900024,920.5,925.700012,908.182617,2601842
11/27/2017,924.5,931,922.799988,928.775024,911.199463,1935236
11/28/2017,928,935.5,927.924988,932.674988,915.025696,2545270
11/29/2017,932.5,937.75,927.900024,936.650024,918.925537,1637292
11/30/2017,934.349976,936.974976,920,926.849976,909.310852,2898156
12/1/2017,927.450012,930,922.049988,924.099976,906.612915,1929074
12/4/2017,927.450012,927.450012,915.049988,917.049988,899.69635,1820966
12/5/2017,913,914.275024,903.5,910.224976,893.000488,1946680
12/6/2017,909.974976,910.674988,899.5,901.650024,884.587769,3197560
12/7/2017,903.325012,908.299988,901.549988,904.825012,887.702698,2115652
12/8/2017,907,926.5,907,920.200012,902.786682,4478200
12/11/2017,924,925.875,920,923.200012,905.729919,1599116
12/12/2017,924.549988,924.950012,907.974976,909.950012,892.730713,1205294
12/13/2017,910.025024,922.5,907.549988,910.674988,893.441956,1453730
12/14/2017,912,920,906,919.025024,901.633972,1841546
12/15/2017,928,944,927.75,936.724976,918.998962,6225062
12/18/2017,927.5,949.5,904.650024,939.474976,921.69696,6148994
12/19/2017,939.900024,946.825012,938.075012,942.25,924.419495,2476056
12/20/2017,949.450012,951.549988,931.825012,934.075012,916.399231,4671752
12/21/2017,939.950012,942.5,932.599976,934.150024,916.472778,3427272
12/22/2017,939.5,940,930.875,938.325012,920.568787,2235452
12/26/2017,940.5,941.400024,928.349976,934.174988,916.497314,3392848
12/27/2017,935.049988,935.150024,925.575012,928.375,910.807007,1744692
12/28/2017,929.450012,940.450012,929,939.025024,921.255554,4350260
12/29/2017,938.400024,939.599976,934.075012,936.200012,918.483948,3172936
1/1/2018,936.349976,940.375,925.25,927.25,909.703369,3290258
1/2/2018,929.275024,937.5,929.275024,936.174988,918.459412,2388158
1/3/2018,937.5,939.125,925.599976,926.325012,908.795898,2265644
1/4/2018,926.5,932.75,926.5,929.950012,912.352234,1186888
1/5/2018,931.5,934.025024,927.775024,931.799988,914.167175,1435434
1/8/2018,932.5,935.349976,928.875,930.299988,912.695618,2285154
